Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000
BTree-Seq-ArrayList-5000-rawIteration0	0.12	0.21	0.38	0.55	0.75	0.93	1.1	1.29		BTree-Seq-ArrayList-5000-rawIteration0	5.21	96.2	0.054	400	0.338	0.112		BTree-Seq-ArrayList-5000-rawIteration0	0.33	0.55	0.79	1.04	1.31	1.55	1.81	2.13		BTree-Seq-ArrayList-5000-rawIteration0	4.76	10.13	15.63	21.44	26.17	30.95	36	40.87	8.0E7		BTree-Seq-ArrayList-5000-rawIteration0	0.15	0.3	0.44	0.58	0.73	0.84	0.95	1.06
BTree-Seq-ArrayList-5000-rawIteration1	0.09	0.17	0.32	0.47	0.63	0.8	0.95	1.11		BTree-Seq-ArrayList-5000-rawIteration1	5.21	96.2	0.054	400	0.361	0.093		BTree-Seq-ArrayList-5000-rawIteration1	0.2	0.41	0.61	0.81	1.01	1.26	1.46	1.66		BTree-Seq-ArrayList-5000-rawIteration1	4.52	9.27	14.02	18.93	23.53	28.39	33.27	37.97	8.0E7		BTree-Seq-ArrayList-5000-rawIteration1	0.15	0.29	0.44	0.58	0.72	0.84	0.95	1.05
BTree-Seq-ArrayList-5000-rawIteration2	0.09	0.17	0.32	0.47	0.62	0.78	0.93	1.09		BTree-Seq-ArrayList-5000-rawIteration2	5.21	96.2	0.054	400	0.372	0.082		BTree-Seq-ArrayList-5000-rawIteration2	0.2	0.41	0.6	0.81	1.01	1.28	1.48	1.68		BTree-Seq-ArrayList-5000-rawIteration2	4.56	9.35	14.1	19	23.58	28.46	32.95	38.12	8.0E7		BTree-Seq-ArrayList-5000-rawIteration2	0.15	0.3	0.45	0.59	0.74	0.86	0.97	1.08
BTree-Seq-ArrayList-15000-rawIteration0	0.08	0.17	0.32	0.47	0.62	0.77	0.92	1.06		BTree-Seq-ArrayList-15000-rawIteration0	5.07	96.07	0.053	134	0.396	0.095		BTree-Seq-ArrayList-15000-rawIteration0	0.2	0.4	0.59	0.79	0.98	1.24	1.46	1.67		BTree-Seq-ArrayList-15000-rawIteration0	4.47	9.14	13.82	18.26	22.81	27.53	32.26	36.48	8.0E7		BTree-Seq-ArrayList-15000-rawIteration0	0.23	0.46	0.69	0.91	1.14	1.34	1.53	1.73
BTree-Seq-ArrayList-15000-rawIteration1	0.09	0.17	0.32	0.46	0.61	0.76	0.91	1.06		BTree-Seq-ArrayList-15000-rawIteration1	5.07	96.07	0.053	134	0.361	0.038		BTree-Seq-ArrayList-15000-rawIteration1	0.2	0.4	0.59	0.79	0.98	1.23	1.43	1.63		BTree-Seq-ArrayList-15000-rawIteration1	4.44	9.05	13.74	18.13	22.61	27.37	32.1	36.36	8.0E7		BTree-Seq-ArrayList-15000-rawIteration1	0.22	0.45	0.67	0.9	1.12	1.31	1.5	1.69
BTree-Seq-ArrayList-15000-rawIteration2	0.09	0.18	0.32	0.47	0.61	0.76	0.91	1.06		BTree-Seq-ArrayList-15000-rawIteration2	5.07	96.07	0.053	134	0.363	0.029		BTree-Seq-ArrayList-15000-rawIteration2	0.2	0.39	0.58	0.79	0.98	1.23	1.43	1.62		BTree-Seq-ArrayList-15000-rawIteration2	4.39	9.02	13.66	18.05	22.48	27.26	32	36.19	8.0E7		BTree-Seq-ArrayList-15000-rawIteration2	0.23	0.46	0.69	0.91	1.14	1.34	1.53	1.72
BTree-Seq-ArrayList-25000-rawIteration0	0.08	0.18	0.31	0.47	0.62	0.77	0.92	1.07		BTree-Seq-ArrayList-25000-rawIteration0	5.03	96.04	0.052	80	0.366	0.022		BTree-Seq-ArrayList-25000-rawIteration0	0.2	0.39	0.59	0.79	0.98	1.24	1.44	1.63		BTree-Seq-ArrayList-25000-rawIteration0	4.39	9.05	13.68	18.07	22.56	27.3	32.02	36.2	8.0E7		BTree-Seq-ArrayList-25000-rawIteration0	0.3	0.6	0.9	1.2	1.49	1.77	2.03	2.29
BTree-Seq-ArrayList-25000-rawIteration1	0.09	0.18	0.32	0.47	0.62	0.77	0.92	1.07		BTree-Seq-ArrayList-25000-rawIteration1	5.03	96.04	0.052	80	0.361	0.029		BTree-Seq-ArrayList-25000-rawIteration1	0.2	0.4	0.59	0.79	0.99	1.25	1.44	1.64		BTree-Seq-ArrayList-25000-rawIteration1	4.37	8.94	13.58	17.95	22.4	27.08	31.86	36.07	8.0E7		BTree-Seq-ArrayList-25000-rawIteration1	0.3	0.61	0.9	1.2	1.5	1.77	2.03	2.29
BTree-Seq-ArrayList-25000-rawIteration2	0.09	0.18	0.32	0.47	0.62	0.77	0.92	1.07		BTree-Seq-ArrayList-25000-rawIteration2	5.03	96.04	0.052	80	0.358	0.032		BTree-Seq-ArrayList-25000-rawIteration2	0.2	0.39	0.59	0.79	0.99	1.24	1.45	1.65		BTree-Seq-ArrayList-25000-rawIteration2	4.37	8.99	13.65	18.1	22.86	27.74	32.49	36.89	8.0E7		BTree-Seq-ArrayList-25000-rawIteration2	0.31	0.61	0.91	1.21	1.51	1.78	2.05	2.32
BTree-Seq-Treap-5000-rawIteration0	0.19	0.34	0.49	0.64	0.84	1	1.15	1.3		BTree-Seq-Treap-5000-rawIteration0	5.16	144.21	0.036	401	0.375	0.1		BTree-Seq-Treap-5000-rawIteration0	0.23	0.46	0.69	0.91	1.15	1.48	1.7	1.92		BTree-Seq-Treap-5000-rawIteration0	5.15	10.92	16.56	22.56	28.12	33.86	39.39	45.06	8.0E7		BTree-Seq-Treap-5000-rawIteration0	0.11	0.2	0.29	0.38	0.47	0.56	0.65	0.7
