Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000
BTree-Seq-CompressSnappy-ArrayList-15000-rawIteration0	0.12	0.21	0.38	0.54	0.7	0.86	1.02	1.18		BTree-Seq-CompressSnappy-ArrayList-15000-rawIteration0	5.07	191.09	0.027	134	0.337	0.042		BTree-Seq-CompressSnappy-ArrayList-15000-rawIteration0	0.21	0.42	0.64	0.86	1.07	1.28	1.49	1.75		BTree-Seq-CompressSnappy-ArrayList-15000-rawIteration0	4.52	9.64	14.76	20.2	25.06	30.02	35.02	39.97	8.0E7		BTree-Seq-CompressSnappy-ArrayList-15000-rawIteration0	0.23	0.47	0.71	0.94	1.17	1.38	1.57	1.77
BTree-Seq-CompressSnappy-ArrayList-15000-rawIteration1	0.09	0.18	0.33	0.48	0.63	0.79	0.94	1.1		BTree-Seq-CompressSnappy-ArrayList-15000-rawIteration1	5.07	191.09	0.027	134	0.364	0.034		BTree-Seq-CompressSnappy-ArrayList-15000-rawIteration1	0.21	0.43	0.64	0.86	1.12	1.33	1.54	1.75		BTree-Seq-CompressSnappy-ArrayList-15000-rawIteration1	4.73	9.64	14.57	19.6	24.29	29.22	34.2	38.91	8.0E7		BTree-Seq-CompressSnappy-ArrayList-15000-rawIteration1	0.23	0.49	0.73	0.97	1.2	1.41	1.62	1.82
BTree-Seq-CompressSnappy-ArrayList-15000-rawIteration2	0.09	0.19	0.33	0.49	0.64	0.8	0.95	1.11		BTree-Seq-CompressSnappy-ArrayList-15000-rawIteration2	5.07	191.09	0.027	134	0.363	0.036		BTree-Seq-CompressSnappy-ArrayList-15000-rawIteration2	0.21	0.42	0.63	0.84	1.05	1.31	1.51	1.72		BTree-Seq-CompressSnappy-ArrayList-15000-rawIteration2	4.69	9.56	14.49	19.15	23.92	29.03	34.06	38.62	8.0E7		BTree-Seq-CompressSnappy-ArrayList-15000-rawIteration2	0.24	0.48	0.71	0.94	1.17	1.38	1.58	1.77
BTree-Seq-CompressSnappy-25000-rawIteration0	0.09	0.18	0.34	0.49	0.65	0.81	0.97	1.14		BTree-Seq-CompressSnappy-25000-rawIteration0	5.03	189.63	0.027	80	0.354	0.035		BTree-Seq-CompressSnappy-25000-rawIteration0	0.21	0.42	0.63	0.84	1.08	1.34	1.56	1.77		BTree-Seq-CompressSnappy-25000-rawIteration0	5.01	9.89	14.89	19.7	24.91	30.13	35.36	39.84	8.0E7		BTree-Seq-CompressSnappy-25000-rawIteration0	0.31	0.63	0.95	1.26	1.57	1.85	2.13	2.4
BTree-Seq-CompressSnappy-25000-rawIteration1	0.09	0.18	0.34	0.51	0.67	0.82	0.98	1.14		BTree-Seq-CompressSnappy-25000-rawIteration1	5.03	189.63	0.027	80	0.355	0.032		BTree-Seq-CompressSnappy-25000-rawIteration1	0.21	0.42	0.62	0.83	1.05	1.31	1.52	1.73		BTree-Seq-CompressSnappy-25000-rawIteration1	4.63	9.53	14.46	19.11	23.8	28.83	33.83	38.3	8.0E7		BTree-Seq-CompressSnappy-25000-rawIteration1	0.32	0.63	0.94	1.26	1.57	1.87	2.14	2.42
BTree-Seq-CompressSnappy-25000-rawIteration2	0.09	0.18	0.33	0.48	0.64	0.8	0.95	1.11		BTree-Seq-CompressSnappy-25000-rawIteration2	5.03	189.63	0.027	80	0.365	0.02		BTree-Seq-CompressSnappy-25000-rawIteration2	0.21	0.41	0.63	0.84	1.05	1.31	1.51	1.72		BTree-Seq-CompressSnappy-25000-rawIteration2	4.61	9.49	14.38	19.06	23.78	28.77	33.85	38.29	8.0E7		BTree-Seq-CompressSnappy-25000-rawIteration2	0.32	0.64	0.96	1.27	1.58	1.87	2.15	2.42
BTree-Seq-CompressGzip-ArrayList-15000-rawIteration0	0.09	0.18	0.47	0.74	0.99	1.26	1.53	1.78		BTree-Seq-CompressGzip-ArrayList-15000-rawIteration0	2.37	191.09	0.012	134	0.718	0.029		BTree-Seq-CompressGzip-ArrayList-15000-rawIteration0	0.41	0.74	1.07	1.41	1.73	2.06	2.46	2.8		BTree-Seq-CompressGzip-ArrayList-15000-rawIteration0	11.59	23.34	34.88	46.82	58.43	70.75	82.34	94.13	8.0E7		BTree-Seq-CompressGzip-ArrayList-15000-rawIteration0	0.33	0.7	1.03	1.36	1.72	1.97	2.21	2.44
BTree-Seq-CompressGzip-ArrayList-15000-rawIteration1	0.09	0.2	0.45	0.74	1	1.29	1.56	1.83		BTree-Seq-CompressGzip-ArrayList-15000-rawIteration1	2.37	191.09	0.012	134	0.738	0.028		BTree-Seq-CompressGzip-ArrayList-15000-rawIteration1	0.34	0.68	1.01	1.34	1.68	2.08	2.42	2.76		BTree-Seq-CompressGzip-ArrayList-15000-rawIteration1	11.36	22.98	34.81	46.58	58	69.59	81.25	92.44	8.0E7		BTree-Seq-CompressGzip-ArrayList-15000-rawIteration1	0.34	0.69	1.03	1.37	1.69	1.94	2.17	2.41
BTree-Seq-CompressGzip-ArrayList-15000-rawIteration2	0.09	0.18	0.43	0.71	0.97	1.25	1.53	1.79		BTree-Seq-CompressGzip-ArrayList-15000-rawIteration2	2.37	191.09	0.012	134	0.741	0.028		BTree-Seq-CompressGzip-ArrayList-15000-rawIteration2	0.34	0.67	1	1.35	1.7	2.09	2.42	2.75		BTree-Seq-CompressGzip-ArrayList-15000-rawIteration2	11.35	22.93	34.52	45.83	57.14	68.8	80.48	91.59	8.0E7		BTree-Seq-CompressGzip-ArrayList-15000-rawIteration2	0.34	0.67	0.99	1.33	1.66	1.91	2.14	2.38
BTree-Seq-CompressGzip-25000-rawIteration0	0.09	0.18	0.43	0.71	1	1.28	1.56	1.85		BTree-Seq-CompressGzip-25000-rawIteration0	2.33	189.63	0.012	80	0.745	0.013		BTree-Seq-CompressGzip-25000-rawIteration0	0.34	0.68	1.01	1.34	1.68	2.08	2.41	2.75		BTree-Seq-CompressGzip-25000-rawIteration0	11.32	22.87	34.42	45.84	57.19	68.89	80.49	91.7	8.0E7		BTree-Seq-CompressGzip-25000-rawIteration0	0.44	0.89	1.31	1.75	2.17	2.53	2.86	3.19
