Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000	
PatTrie-Seq-EvenSplits-3000-rawIteration0	0.41	0.68	1.04	1.38	1.74	2.12	2.49	2.85		PatTrie-Seq-EvenSplits-3000-rawIteration0	1.26	161.84	0.008	1000.0	0.08	0.09		PatTrie-Seq-EvenSplits-3000-rawIteration0	1.37	2.74	4.03	5.32	6.48	7.74	9.04	10.31		PatTrie-Seq-EvenSplits-3000-rawIteration0	10.12	20.06	29.84	39.19	48.74	58.17	67.78	77.16	8.0E7		PatTrie-Seq-EvenSplits-3000-rawIteration0	0.54	1.0	1.47	1.9	2.35	2.79	3.22	3.62	
PatTrie-Seq-EvenSplits-3000-rawIteration1	0.28	0.56	0.89	1.23	1.6	1.98	2.35	2.71		PatTrie-Seq-EvenSplits-3000-rawIteration1	1.26	161.84	0.008	1000.0	0.074	0.089		PatTrie-Seq-EvenSplits-3000-rawIteration1	1.24	2.54	3.79	5.06	6.21	7.46	8.73	9.98		PatTrie-Seq-EvenSplits-3000-rawIteration1	9.25	18.65	28.0	37.26	46.57	56.2	65.45	74.76	8.0E7		PatTrie-Seq-EvenSplits-3000-rawIteration1	0.49	0.96	1.42	1.86	2.32	2.77	3.2	3.62	
PatTrie-Seq-EvenSplits-3000-rawIteration2	0.25	0.52	0.86	1.22	1.58	1.97	2.33	2.71		PatTrie-Seq-EvenSplits-3000-rawIteration2	1.26	161.84	0.008	1000.0	0.083	0.094		PatTrie-Seq-EvenSplits-3000-rawIteration2	1.31	2.59	3.85	5.12	6.26	7.52	8.84	10.1		PatTrie-Seq-EvenSplits-3000-rawIteration2	9.23	18.61	27.81	37.27	46.5	56.11	65.35	74.72	8.0E7		PatTrie-Seq-EvenSplits-3000-rawIteration2	0.49	0.96	1.42	1.87	2.32	2.77	3.2	3.61	
PatTrie-Seq-EvenSplits-6000-rawIteration0	0.23	0.51	0.83	1.16	1.5	1.87	2.22	2.63		PatTrie-Seq-EvenSplits-6000-rawIteration0	1.0	161.72	0.006	500.0	0.069	0.075		PatTrie-Seq-EvenSplits-6000-rawIteration0	1.24	2.49	3.71	4.97	6.1	7.35	8.6	9.84		PatTrie-Seq-EvenSplits-6000-rawIteration0	8.99	18.13	27.32	36.49	45.5	54.48	63.57	72.63	8.0E7		PatTrie-Seq-EvenSplits-6000-rawIteration0	0.5	0.96	1.42	1.86	2.32	2.75	3.17	3.57	
PatTrie-Seq-EvenSplits-6000-rawIteration1	0.24	0.52	0.86	1.19	1.54	1.94	2.28	2.63		PatTrie-Seq-EvenSplits-6000-rawIteration1	1.0	161.72	0.006	500.0	0.064	0.059		PatTrie-Seq-EvenSplits-6000-rawIteration1	1.23	2.48	3.73	5.01	6.12	7.37	8.62	9.85		PatTrie-Seq-EvenSplits-6000-rawIteration1	8.79	18.0	26.73	35.82	44.56	53.61	62.71	71.6	8.0E7		PatTrie-Seq-EvenSplits-6000-rawIteration1	0.47	0.92	1.37	1.79	2.24	2.66	3.08	3.46	
PatTrie-Seq-EvenSplits-6000-rawIteration2	0.24	0.51	0.83	1.15	1.49	1.85	2.21	2.57		PatTrie-Seq-EvenSplits-6000-rawIteration2	1.0	161.72	0.006	500.0	0.067	0.053		PatTrie-Seq-EvenSplits-6000-rawIteration2	1.22	2.48	3.77	5.08	6.18	7.41	8.66	9.9		PatTrie-Seq-EvenSplits-6000-rawIteration2	8.79	17.85	26.67	35.72	44.59	53.65	62.75	71.71	8.0E7		PatTrie-Seq-EvenSplits-6000-rawIteration2	0.48	0.93	1.38	1.8	2.24	2.66	3.08	3.47	
PatTrie-Seq-EvenSplits-12000-rawIteration0	0.28	0.65	1.1	1.53	2.07	2.61	3.08	3.69		PatTrie-Seq-EvenSplits-12000-rawIteration0	0.96	161.65	0.006	260.0	0.035	0.024		PatTrie-Seq-EvenSplits-12000-rawIteration0	1.57	3.3	5.26	6.99	8.61	10.14	11.94	13.88		PatTrie-Seq-EvenSplits-12000-rawIteration0	9.0	18.33	27.98	37.42	46.77	55.99	65.33	74.54	8.0E7		PatTrie-Seq-EvenSplits-12000-rawIteration0	0.55	1.2	1.94	2.57	3.36	4.08	4.71	5.38	
PatTrie-Seq-EvenSplits-12000-rawIteration1	0.28	0.65	1.1	1.54	2.08	2.62	3.09	3.7		PatTrie-Seq-EvenSplits-12000-rawIteration1	0.96	161.65	0.006	260.0	0.038	0.019		PatTrie-Seq-EvenSplits-12000-rawIteration1	1.51	3.23	5.15	6.89	8.51	10.04	11.76	13.69		PatTrie-Seq-EvenSplits-12000-rawIteration1	8.98	18.37	27.49	36.68	45.89	55.11	64.5	73.64	8.0E7		PatTrie-Seq-EvenSplits-12000-rawIteration1	0.55	1.2	1.92	2.54	3.31	4.02	4.64	5.31	
PatTrie-Seq-EvenSplits-12000-rawIteration2	0.29	0.65	1.11	1.54	2.17	2.7	3.18	3.79		PatTrie-Seq-EvenSplits-12000-rawIteration2	0.96	161.65	0.006	260.0	0.037	0.035		PatTrie-Seq-EvenSplits-12000-rawIteration2	1.52	3.24	5.14	6.87	8.48	10.06	11.81	13.74		PatTrie-Seq-EvenSplits-12000-rawIteration2	9.03	18.3	27.39	36.69	45.79	55.06	64.39	73.44	8.0E7		PatTrie-Seq-EvenSplits-12000-rawIteration2	0.55	1.19	1.92	2.54	3.3	4.0	4.62	5.27	
PatTrie-Seq-4MinDepth-3000-rawIteration0	0.26	0.59	1.03	1.49	1.99	2.6	3.08	3.56		PatTrie-Seq-4MinDepth-3000-rawIteration0	2.16	162.09	0.013	2763.0	0.083	0.159		PatTrie-Seq-4MinDepth-3000-rawIteration0	1.75	3.38	5.03	6.69	8.1	9.92	11.56	13.2		PatTrie-Seq-4MinDepth-3000-rawIteration0	10.63	21.48	32.51	43.38	54.33	65.43	76.47	87.17	8.0E7		PatTrie-Seq-4MinDepth-3000-rawIteration0	0.85	1.48	2.11	2.69	3.32	3.9	4.47	5.09	
