Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000	
SkipList-Seq-ArrayList-3000-rawIteration0	0.24	0.37	0.51	0.65	0.87	1.08	1.28	1.49		SkipList-Seq-ArrayList-3000-rawIteration0	5.16	96.16	0.054	337.0	0.308	0.059		SkipList-Seq-ArrayList-3000-rawIteration0	0.32	0.54	0.76	0.99	1.21	1.44	1.72	2.03		SkipList-Seq-ArrayList-3000-rawIteration0	4.78	10.3	15.93	21.59	27.03	31.97	36.94	41.93	8.0E7		SkipList-Seq-ArrayList-3000-rawIteration0	0.24	0.46	0.69	0.93	1.14	1.33	1.49	1.67	
SkipList-Seq-ArrayList-3000-rawIteration1	0.28	0.44	0.57	0.71	0.91	1.12	1.37	1.56		SkipList-Seq-ArrayList-3000-rawIteration1	5.15	96.15	0.054	315.0	0.29	0.054		SkipList-Seq-ArrayList-3000-rawIteration1	0.21	0.42	0.62	0.83	1.06	1.27	1.48	1.69		SkipList-Seq-ArrayList-3000-rawIteration1	4.61	9.39	14.13	18.92	23.62	28.51	33.37	37.85	8.0E7		SkipList-Seq-ArrayList-3000-rawIteration1	0.29	0.53	0.76	0.99	1.23	1.45	1.67	1.85	
SkipList-Seq-ArrayList-3000-rawIteration2	0.13	0.26	0.39	0.53	0.72	0.92	1.12	1.38		SkipList-Seq-ArrayList-3000-rawIteration2	5.17	96.16	0.054	339.0	0.336	0.065		SkipList-Seq-ArrayList-3000-rawIteration2	0.21	0.43	0.64	0.86	1.07	1.31	1.51	1.72		SkipList-Seq-ArrayList-3000-rawIteration2	4.57	9.36	14.16	19.1	23.35	28.25	33.15	37.72	8.0E7		SkipList-Seq-ArrayList-3000-rawIteration2	0.24	0.51	0.74	0.98	1.19	1.37	1.55	1.73	
SkipList-Seq-ArrayList-6000-rawIteration0	0.13	0.26	0.39	0.53	0.72	0.93	1.12	1.33		SkipList-Seq-ArrayList-6000-rawIteration0	5.08	96.08	0.053	166.0	0.371	0.038		SkipList-Seq-ArrayList-6000-rawIteration0	0.21	0.42	0.63	0.84	1.05	1.29	1.49	1.7		SkipList-Seq-ArrayList-6000-rawIteration0	4.47	9.13	13.51	18.25	22.88	27.66	32.07	36.93	8.0E7		SkipList-Seq-ArrayList-6000-rawIteration0	0.29	0.57	0.88	1.18	1.45	1.73	1.94	2.22	
SkipList-Seq-ArrayList-6000-rawIteration1	0.13	0.27	0.41	0.54	0.74	0.97	1.21	1.4		SkipList-Seq-ArrayList-6000-rawIteration1	5.08	96.09	0.053	186.0	0.306	0.052		SkipList-Seq-ArrayList-6000-rawIteration1	0.22	0.43	0.65	0.85	1.09	1.31	1.52	1.73		SkipList-Seq-ArrayList-6000-rawIteration1	4.49	9.14	13.83	18.89	23.44	28.64	33.47	37.88	8.0E7		SkipList-Seq-ArrayList-6000-rawIteration1	0.28	0.65	1.29	1.53	1.8	2.07	2.3	2.51	
SkipList-Seq-ArrayList-6000-rawIteration2	0.13	0.26	0.39	0.53	0.72	0.91	1.15	1.34		SkipList-Seq-ArrayList-6000-rawIteration2	5.08	96.09	0.053	182.0	0.319	0.048		SkipList-Seq-ArrayList-6000-rawIteration2	0.21	0.42	0.63	0.83	1.07	1.28	1.49	1.69		SkipList-Seq-ArrayList-6000-rawIteration2	4.51	9.16	13.82	18.66	23.18	27.56	32.38	37.32	8.0E7		SkipList-Seq-ArrayList-6000-rawIteration2	0.28	0.62	0.88	1.13	1.42	1.69	1.88	2.11	
SkipList-Seq-ArrayList-12000-rawIteration0	0.13	0.26	0.39	0.53	0.73	0.93	1.18	1.38		SkipList-Seq-ArrayList-12000-rawIteration0	5.03	96.04	0.052	85.0	0.352	0.019		SkipList-Seq-ArrayList-12000-rawIteration0	0.21	0.42	0.63	0.83	1.06	1.27	1.49	1.69		SkipList-Seq-ArrayList-12000-rawIteration0	4.08	9.06	13.68	17.97	22.57	27.29	32.05	36.43	8.0E7		SkipList-Seq-ArrayList-12000-rawIteration0	0.35	0.75	1.17	1.44	1.82	2.37	2.67	3.07	
SkipList-Seq-ArrayList-12000-rawIteration1	0.13	0.26	0.39	0.52	0.72	0.93	1.13	1.38		SkipList-Seq-ArrayList-12000-rawIteration1	5.04	96.04	0.052	85.0	0.313	0.021		SkipList-Seq-ArrayList-12000-rawIteration1	0.21	0.41	0.62	0.83	1.03	1.26	1.47	1.67		SkipList-Seq-ArrayList-12000-rawIteration1	4.08	9.06	13.37	18.03	22.62	27.39	31.73	36.54	8.0E7		SkipList-Seq-ArrayList-12000-rawIteration1	0.49	0.88	1.18	1.53	1.95	2.55	3.12	3.54	
SkipList-Seq-ArrayList-12000-rawIteration2	0.13	0.26	0.4	0.54	0.73	0.93	1.18	1.38		SkipList-Seq-ArrayList-12000-rawIteration2	5.05	96.05	0.053	103.0	0.321	0.02		SkipList-Seq-ArrayList-12000-rawIteration2	0.21	0.41	0.61	0.82	1.05	1.26	1.46	1.66		SkipList-Seq-ArrayList-12000-rawIteration2	4.08	9.31	14.22	18.72	23.42	28.18	33.04	37.77	8.0E7		SkipList-Seq-ArrayList-12000-rawIteration2	0.45	0.94	1.41	1.72	2.05	2.4	2.79	3.15	
SkipList-Seq-Treap-3000-rawIteration0	0.36	0.5	0.67	0.91	1.1	1.31	1.61	1.82		SkipList-Seq-Treap-3000-rawIteration0	5.12	144.16	0.036	321.0	0.282	0.097		SkipList-Seq-Treap-3000-rawIteration0	0.37	0.63	0.87	1.15	1.39	1.7	2.02	2.29		SkipList-Seq-Treap-3000-rawIteration0	5.43	11.35	17.06	22.79	28.63	33.8	39.67	45.08	8.0E7		SkipList-Seq-Treap-3000-rawIteration0	0.2	0.35	0.51	0.66	0.81	0.96	1.11	1.23	
